Instance Type	Number of Nodes	VCPUs	ECUs	Number of Blocks	Requested Partitions	Actual Partitions	Min Volume	Max Volume	Average Volume	Running Time (msec.)	
c3.xlarge	1	4	14	64000	1	1	64000	64000	64000	1908180	
c3.xlarge	1	4	14	64000	2	3	3200	32000	21333.33	1226659	
c3.xlarge	1	4	14	64000	4	5	4800	16000	12800	1009861	
c3.xlarge	1	4	14	64000	8	9	5600	8000	7111.11	965525	
c3.xlarge	1	4	14	64000	32	32	2000	2000	2000	767746	
c3.xlarge	1	4	14	64000	64	67	640	960	955.22	246731	
c3.xlarge	1	4	14	64000	128	134	160	480	477.61	375920	
											
c3.xlarge	2	8	28	128000	1	1	128000	128000	128000	2612137	
c3.xlarge	2	8	28	128000	2	3	6400	64000	42666.67	1602056	
c3.xlarge	2	8	28	128000	4	5	9600	32000	25600	1274661	
c3.xlarge	2	8	28	128000	8	9	11200	16000	14222.22	1266103	
c3.xlarge	2	8	28	128000	32	32	4000	4000	4000	929589	
c3.xlarge	2	8	28	128000	64	67	1280	1920	1910.45	283685	
c3.xlarge	2	8	28	128000	128	134	320	960	955.22	415445	
											
c3.xlarge	4	16	56	256000	2	3	12899	128999	85333.33	2396962	
c3.xlarge	4	16	56	256000	4	5	19200	64000	51200	1114180	
c3.xlarge	4	16	56	256000	8	9	22400	32000	28444.44	770866	
c3.xlarge	4	16	56	256000	32	32	8000	8000	8000	549959	
c3.xlarge	4	16	56	256000	64	67	2560	3840	3820.9	136210	
c3.xlarge	4	16	56	256000	128	134	640	1920	190.45	189102	
											
c3.xlarge	8	32	112	512000	4	5	38500	128000	102400	1998852	
c3.xlarge	8	32	112	512000	8	9	44800	64000	56888.89	1069384	
c3.xlarge	8	32	112	512000	32	32	16000	16000	16000	1069384	
c3.xlarge	8	32	112	512000	64	67	5120	7680	7641.79	94215	
c3.xlarge	8	32	112	512000	128	134	1280	3840	3820.9	117645	
c3.xlarge	8	32	112	512000	256	6561	8	80	78.04	1492243	
c3.xlarge	8	32	112	512000	512	160	3200	3200	3200	50911	Only cut 160 blocks
